id,qty,part,model_or_value,confidence,notes
main-display,1,ESP32-P4 display module,Guition JC4880P443C-I-W,OFFICIAL_SPEC_CONFLICT,"ESP32-P4 + ESP32-C6; 4.3in 480x800; measure exact board envelope"
camera-node,4,Camera controller and sensor,Seeed XIAO ESP32-S3 Sense with OV3660,OFFICIAL_SPEC,"21.0x17.8x15.0mm module envelope"
battery,1,LiPo battery,505573 1S 3.7V 3000mAh 11.1Wh,PROVISIONAL_SIZE_CODE_MEASURE_ACTUAL,"PH2.0-3P; 3A sustained harness limit; measure pouch and lead exit"
fuse,1,Fast axial fuse,F3A 3A,SELLER_SPEC,"Place near battery positive"
bms,1,LiPo protection board,1S 10A,MEASURE_REQUIRED,"System sustained rating remains limited by battery harness"
power-module,1,Bidirectional charger and boost module,SW6106 18W class,SELLER_SPEC_PROVISIONAL,"Approx. 28x28x11.36mm; produces 5V rail"
camera-switch,4,High-side camera power channel,AO4407 or AO4407A + 2N3904,PCB_LAYOUT_DEPENDENT,"Per channel: SOP8 adapter; 4.7k; 100k gate pull-up; 100k base pull-down; 1N5819"
flash-led,1,Flash emitter,3W CRI90 natural-white LED star,MEASURE_REQUIRED,"3.0-3.6V forward voltage; begin at 350mA"
flash-driver,1,Adjustable constant-current LED driver,350mA initial setting,MEASURE_REQUIRED,"500mA trial only after rail-sag and thermal measurements"
flash-heatsink,1,Copper pin-fin heatsink,20x20x7mm,SELLER_SPEC,"Flash thermal path"
flash-thermal-pad,1,Thermal pad,20x20x0.5mm,CUT_TO_FIT,"Inspect full contact before flash load test"
flash-diffuser,1,Opal acrylic,1mm,CUT_TO_FIT,"Keep clear of hot LED and driver parts"
speaker,1,Speaker,8ohm 2W approx. 25x35mm,SELLER_SPEC_MEASURE_THICKNESS,"1.25mm 2-pin plug"
micro-sd,1,microSD card,SanDisk Ultra 32GB,STANDARD,"Central original-frame storage"
p4-ribbon,1,IDC ribbon,26-pin 2x13 2.54mm approx. 100mm,SELLER_SPEC,"Mark pin 1 and preserve bend radius"
camera-harness,4,Detachable camera harness,PH2.0 4-pin approx. 100mm,SELLER_SPEC,"5V; GND; P4 TX to XIAO RX; P4 RX from XIAO TX"
sync-wire,4,Shared-sync branch wire,28AWG,KNOWN_WIRE_GAUGE,"One separate branch per camera node"
main-power-wire,as-routed,Silicone power wire,20AWG,KNOWN_WIRE_GAUGE,"Battery; 5V rail; main ground"
bulk-cap,design-dependent,Bulk capacitor,1000uF 10V low-ESR,MEASURE_REQUIRED,"Quantity and placement depend on measured rail transients"
bypass-cap,design-dependent,Ceramic bypass capacitor,100nF 50V,PACKAGE_MEASURE_REQUIRED,"Place locally at switched loads"
tact-switch,design-dependent,Tactile switch,6x6x4.3mm,SELLER_SPEC,"Controls pending final carrier layout"
slide-switch,1,SPDT slide switch,MSK-22D14,MEASURE_REQUIRED,"Logic input only"
perfboard,1,Main carrier,DKAWS or Perma-Proto style,MEASURE_REQUIRED,"V1 carrier; do not carry high current on thin traces"
enclosure,1,Structural enclosure,PETG skeleton + 2-3mm clear acrylic,PROVISIONAL,"126x80x36mm provisional envelope; M2 heat-set inserts"
